threshold,window_s,budget_weight,fpr,fnr,f1
3,10,0.0,0.0,1.0,0
3,10,0.2,0.0,1.0,0
3,10,0.5,0.0,1.0,0
3,10,0.8,0.0,1.0,0
3,20,0.0,0.0,1.0,0
3,20,0.2,0.0,1.0,0
3,20,0.5,0.0,1.0,0
3,20,0.8,0.0,1.0,0
3,30,0.0,0.0,1.0,0
3,30,0.2,0.0,1.0,0
3,30,0.5,0.0,1.0,0
3,30,0.8,0.0,1.0,0
3,60,0.0,0.0,1.0,0
3,60,0.2,0.0,1.0,0
3,60,0.5,0.0,1.0,0
3,60,0.8,0.0,1.0,0
3,120,0.0,0.0,1.0,0
3,120,0.2,0.0,1.0,0
3,120,0.5,0.0,1.0,0
3,120,0.8,0.0,1.0,0
4,10,0.0,0.0,1.0,0
4,10,0.2,0.0,1.0,0
4,10,0.5,0.0,1.0,0
4,10,0.8,0.0,1.0,0
4,20,0.0,0.0,1.0,0
4,20,0.2,0.0,1.0,0
4,20,0.5,0.0,1.0,0
4,20,0.8,0.0,1.0,0
4,30,0.0,0.0,1.0,0
4,30,0.2,0.0,1.0,0
4,30,0.5,0.0,1.0,0
4,30,0.8,0.0,1.0,0
4,60,0.0,0.0,1.0,0
4,60,0.2,0.0,1.0,0
4,60,0.5,0.0,1.0,0
4,60,0.8,0.0,1.0,0
4,120,0.0,0.0,1.0,0
4,120,0.2,0.0,1.0,0
4,120,0.5,0.0,1.0,0
4,120,0.8,0.0,1.0,0
5,10,0.0,0.0,1.0,0
5,10,0.2,0.0,1.0,0
5,10,0.5,0.0,1.0,0
5,10,0.8,0.0,1.0,0
5,20,0.0,0.0,1.0,0
5,20,0.2,0.0,1.0,0
5,20,0.5,0.0,1.0,0
5,20,0.8,0.0,1.0,0
5,30,0.0,0.0,1.0,0
5,30,0.2,0.0,1.0,0
5,30,0.5,0.0,1.0,0
5,30,0.8,0.0,1.0,0
5,60,0.0,0.0,1.0,0
5,60,0.2,0.0,1.0,0
5,60,0.5,0.0,1.0,0
5,60,0.8,0.0,1.0,0
5,120,0.0,0.0,1.0,0
